token,raw,category,ambiguity_risk,matched_n_combo,matched_clk,matched_cost,matched_conv_cnt,matched_conv_amt,sources,notes
폴드2,폴드2,model_code,low,1151,153,95023,2,39600,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name/campaign_name (정규식 (폴드|플립)+숫자[와이드/울트라/SE] 매치 3행, 예: grp-a001-01-000000060548659,grp-a001-02-000000045448744,grp-a001-02-000000059821852)",리터럴 adgroup_name/campaign_name에서 직접 추출
15플러스,15플러스,model_code,low,1109,67,91505,9,189000,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061693725,grp-a001-02-000000061794163)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
트라이폴드,트라이폴드,model_code,low,3099,128,90746,0,0,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name/campaign_name (정규식 (폴드|플립)+숫자[와이드/울트라/SE] 매치 4행, 예: grp-a001-01-000000058445222,grp-a001-01-000000058445534,grp-a001-01-000000060558824)",리터럴 adgroup_name/campaign_name에서 직접 추출
12프로,12프로,model_code,low,1341,78,88929,3,51700,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 1행, 예: grp-a001-02-000000061794111)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
아이뮤즈,아이뮤즈,brand_root,low,4487,200,88463,1,15900,docs/references/data/63_band_decomposition/adgroup_model_map.csv:campaign_name ('● 13. 아이뮤즈_뮤패드' 캠페인 2행),타사 태블릿 제조사 브랜드(뮤패드 제조사)
a15,A15,model_code,"medium(알파벳1+숫자, 예: s8)",1591,76,80319,15,236400,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact, 1행, 예: grp-a001-01-000000060613256)",series:code 파싱 결과 중 code 부분
17에어,17에어,model_code,low,1889,96,79520,0,0,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061693693,grp-a001-02-000000061794181)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
16플러스,16플러스,model_code,low,1135,60,62431,2,31800,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061693700,grp-a001-02-000000061794172)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
a33,A33,model_code,"medium(알파벳1+숫자, 예: s8)",1363,37,46476,1,15900,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact, 1행, 예: grp-a001-01-000000060610050)",series:code 파싱 결과 중 code 부분
a53,A53,model_code,"medium(알파벳1+숫자, 예: s8)",797,38,41731,2,31800,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact, 1행, 예: grp-a001-01-000000060612108)",series:code 파싱 결과 중 code 부분
ohi,OHI,self_brand,low,487,73,37402,0,0,"naver_search_term_daily(prod):search_term (adgroup_id=grp-a001-01-000000031116306, 검색어='OHI' clk=10 cost=906 n=329행 · 'OHI필름' clk=6 n=61행(2026-08-18 조회))",영문 표기형
플립2,플립2,model_code,low,479,63,36990,0,0,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name/campaign_name (정규식 (폴드|플립)+숫자[와이드/울트라/SE] 매치 3행, 예: grp-a001-01-000000060531082,grp-a001-02-000000059252905,grp-a001-02-000000059821232)",리터럴 adgroup_name/campaign_name에서 직접 추출
14플러스,14플러스,model_code,low,1016,31,36102,2,37800,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061693735,grp-a001-02-000000061794155)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
s25edge,S25 Edge,model_code,low,490,37,35719,1,15900,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact, 4행, 예: grp-a001-01-000000060480315,grp-a001-01-000000060763876,grp-a001-02-000000055045417)",series:code 파싱 결과 중 code 부분
a25,A25,model_code,"medium(알파벳1+숫자, 예: s8)",961,47,35164,2,28800,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact, 1행, 예: grp-a001-01-000000060613247)",series:code 파싱 결과 중 code 부분
12프로맥스,12프로맥스,model_code,low,888,36,31760,0,0,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 1행, 예: grp-a001-02-000000061794099)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
a55,A55,model_code,"medium(알파벳1+숫자, 예: s8)",1213,42,30866,0,0,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact/fuzzy, 3행, 예: grp-a001-01-000000047075282,grp-a001-01-000000060613246,grp-a001-02-000000044299975)",series:code 파싱 결과 중 code 부분
a54,A54,model_code,"medium(알파벳1+숫자, 예: s8)",1068,28,28867,2,31800,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact/fuzzy, 3행, 예: grp-a001-01-000000047076625,grp-a001-01-000000060613245,grp-a001-02-000000044300513)",series:code 파싱 결과 중 code 부분
플립1,플립1,model_code,low,408,44,20855,0,0,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name/campaign_name (정규식 (폴드|플립)+숫자[와이드/울트라/SE] 매치 3행, 예: grp-a001-01-000000049865057,grp-a001-01-000000060531067,grp-a001-02-000000045448738)",리터럴 adgroup_name/campaign_name에서 직접 추출
12미니,12미니,model_code,low,640,23,17380,0,0,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 1행, 예: grp-a001-02-000000061794086)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
폴드6se,폴드6SE,model_code,low,259,32,17202,1,13800,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name/campaign_name (정규식 (폴드|플립)+숫자[와이드/울트라/SE] 매치 1행, 예: grp-a001-02-000000045687119)",리터럴 adgroup_name/campaign_name에서 직접 추출
air7,air7,model_code,low,44,4,1750,0,0,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact/fuzzy, 14행, 예: grp-a001-01-000000049350730,grp-a001-01-000000049350994,grp-a001-01-000000049354066)",series:code 파싱 결과 중 code 부분
mini6,mini6,model_code,low,35,1,670,0,0,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=fuzzy, 8행, 예: grp-a001-01-000000046127917,grp-a001-01-000000046132066,grp-a001-01-000000046970779)",series:code 파싱 결과 중 code 부분
air6,air6,model_code,low,72,1,340,0,0,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact/fuzzy, 14행, 예: grp-a001-01-000000046835750,grp-a001-01-000000046971358,grp-a001-01-000000046974236)",series:code 파싱 결과 중 code 부분
mini7,mini7,model_code,low,32,0,0,0,0,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=fuzzy, 8행, 예: grp-a001-01-000000046127917,grp-a001-01-000000046132066,grp-a001-01-000000046970779)",series:code 파싱 결과 중 code 부분
pro35,pro3-5,model_code,low,0,0,0,0,0,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=fuzzy, 8행, 예: grp-a001-01-000000060841581,grp-a001-01-000000060842559,grp-a001-02-000000046126252)",series:code 파싱 결과 중 code 부분
pro6,pro6,model_code,low,20,0,0,0,0,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=fuzzy, 11행, 예: grp-a001-01-000000046807499,grp-a001-01-000000046978005,grp-a001-01-000000049549995)",series:code 파싱 결과 중 code 부분
pro7,pro7,model_code,low,6,0,0,0,0,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact/fuzzy, 12행, 예: grp-a001-01-000000046807499,grp-a001-01-000000046975254,grp-a001-01-000000046978005)",series:code 파싱 결과 중 code 부분
